Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Trigeminal Neuralgia,"Carbamazepine (200400 mg twice daily), gabapentin (300600 mg), surgery (MVD).","Clinical history, MRI to rule out tumors.","Sudden facial pain, electricshock sensation, onesided.","[{'text': 'Trigeminal Neuralgia', 'label': 'ENTITY', 'umls_cui': 'C0040997', 'umls_score': 0.9625037312507629}]","[{'text': 'Carbamazepine', 'label': 'ENTITY', 'umls_cui': 'C0006949', 'umls_score': 0.9652673006057739}, {'text': 'gabapentin', 'label': 'ENTITY', 'umls_cui': 'C0060926', 'umls_score': 0.9444852471351624}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'MVD', 'label': 'ENTITY', 'umls_cui': 'C1417507', 'umls_score': 0.9973968267440796}]","[{'text': 'Clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'tumors', 'label': 'ENTITY', 'umls_cui': 'C0027651', 'umls_score': 0.9982830286026001}]","[{'text': 'Sudden facial pain', 'label': 'ENTITY', 'umls_cui': 'C0015468', 'umls_score': 0.7753063440322876}, {'text': 'electricshock sensation', 'label': 'ENTITY'}]"
Multiple Myeloma,"Lenalidomide (25 mg daily), bortezomib (1.3 mg/m² IV), dexamethasone (40 mg).","Serum protein electrophoresis, bone marrow biopsy, Xrays.","Bone pain, fatigue, anemia, frequent infections.","[{'text': 'Multiple Myeloma', 'label': 'ENTITY', 'umls_cui': 'C0026764', 'umls_score': 0.9871806502342224}]","[{'text': 'Lenalidomide', 'label': 'ENTITY', 'umls_cui': 'C1144149', 'umls_score': 0.9930064082145691}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'bortezomib', 'label': 'ENTITY', 'umls_cui': 'C1176309', 'umls_score': 0.9600796699523926}, {'text': 'dexamethasone', 'label': 'ENTITY', 'umls_cui': 'C0011777', 'umls_score': 0.9781883358955383}]","[{'text': 'Serum protein electrophoresis', 'label': 'ENTITY', 'umls_cui': 'C0201720', 'umls_score': 0.9854764342308044}, {'text': 'bone marrow biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005954', 'umls_score': 0.9757674336433411}]","[{'text': 'Bone pain', 'label': 'ENTITY', 'umls_cui': 'C0151825', 'umls_score': 0.9806250929832458}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'anemia', 'label': 'ENTITY', 'umls_cui': 'C0002871', 'umls_score': 0.9743537902832031}, {'text': 'frequent', 'label': 'ENTITY', 'umls_cui': 'C0332183', 'umls_score': 0.9685423970222473}, {'text': 'infections', 'label': 'ENTITY', 'umls_cui': 'C0851162', 'umls_score': 0.9714444875717163}]"
Food Allergy,"Epinephrine (0.3 mg IM), antihistamines (e.g., cetirizine 10 mg), avoidance.","Skin prick test, IgE blood test, food challenge.","Hives, swelling, abdominal pain, anaphylaxis risk.","[{'text': 'Food Allergy', 'label': 'ENTITY', 'umls_cui': 'C0016470', 'umls_score': 0.9909172654151917}]","[{'text': 'Epinephrine', 'label': 'ENTITY', 'umls_cui': 'C0014563', 'umls_score': 0.9722364544868469}, {'text': 'IM', 'label': 'ENTITY', 'umls_cui': 'C0231377', 'umls_score': 0.9843143224716187}, {'text': 'antihistamines', 'label': 'ENTITY', 'umls_cui': 'C0019590', 'umls_score': 0.9344625473022461}, {'text': 'cetirizine', 'label': 'ENTITY', 'umls_cui': 'C0055147', 'umls_score': 0.9726575613021851}, {'text': 'avoidance', 'label': 'ENTITY', 'umls_cui': 'C0870186', 'umls_score': 0.967202365398407}]","[{'text': 'Skin prick test', 'label': 'ENTITY', 'umls_cui': 'C0430561', 'umls_score': 0.9814569354057312}, {'text': 'IgE', 'label': 'ENTITY', 'umls_cui': 'C0020846', 'umls_score': 0.9957106709480286}, {'text': 'blood test', 'label': 'ENTITY', 'umls_cui': 'C0018941', 'umls_score': 0.9961088299751282}, {'text': 'food challenge', 'label': 'ENTITY', 'umls_cui': 'C0805586', 'umls_score': 0.8280139565467834}]","[{'text': 'Hives', 'label': 'ENTITY', 'umls_cui': 'C0042109', 'umls_score': 0.9633265137672424}, {'text': 'swelling', 'label': 'ENTITY', 'umls_cui': 'C0013604', 'umls_score': 0.9542832970619202}, {'text': 'abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'anaphylaxis risk', 'label': 'ENTITY', 'umls_cui': 'C0002792', 'umls_score': 0.8308809995651245}]"
Lyme Disease,"Doxycycline (100 mg twice daily for 1421 days), amoxicillin (500 mg 3x daily).","ELISA, Western blot, clinical history.","Bullseye rash, fever, joint pain, fatigue.","[{'text': 'Lyme Disease', 'label': 'ENTITY', 'umls_cui': 'C0024198', 'umls_score': 0.9876024127006531}]","[{'text': 'Doxycycline', 'label': 'ENTITY', 'umls_cui': 'C0013090', 'umls_score': 0.9679107069969177}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'amoxicillin', 'label': 'ENTITY', 'umls_cui': 'C0002645', 'umls_score': 0.9741423726081848}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'ELISA', 'label': 'ENTITY', 'umls_cui': 'C0014441', 'umls_score': 0.994801938533783}, {'text': 'Western blot', 'label': 'ENTITY', 'umls_cui': 'C0005863', 'umls_score': 0.9722474217414856}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}]","[{'text': 'Bullseye rash', 'label': 'ENTITY'}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'joint pain', 'label': 'ENTITY', 'umls_cui': 'C0003862', 'umls_score': 0.9798861742019653}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}]"
Glaucoma,"Latanoprost (0.005% drops nightly), timolol (0.5% drops twice daily), surgery.","Tonometry (IOP >21 mmHg), optic nerve exam, visual field test.","Vision loss, eye pain, halos around lights, nausea.","[{'text': 'Glaucoma', 'label': 'ENTITY', 'umls_cui': 'C0017601', 'umls_score': 0.9797171950340271}]","[{'text': 'Latanoprost', 'label': 'ENTITY', 'umls_cui': 'C0090306', 'umls_score': 0.9895524978637695}, {'text': 'drops', 'label': 'ENTITY', 'umls_cui': 'C0991568', 'umls_score': 0.9908820986747742}, {'text': 'timolol', 'label': 'ENTITY', 'umls_cui': 'C0040233', 'umls_score': 0.9815707802772522}, {'text': 'drops twice daily', 'label': 'ENTITY', 'umls_cui': 'C0585361', 'umls_score': 0.7929622530937195}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}]","[{'text': 'Tonometry', 'label': 'ENTITY', 'umls_cui': 'C0040420', 'umls_score': 0.9914634823799133}, {'text': 'mmHg', 'label': 'ENTITY', 'umls_cui': 'C0439475', 'umls_score': 0.989119827747345}, {'text': 'optic nerve exam', 'label': 'ENTITY', 'umls_cui': 'C0029130', 'umls_score': 0.8383366465568542}, {'text': 'visual field test', 'label': 'ENTITY', 'umls_cui': 'C0042825', 'umls_score': 0.971315324306488}]","[{'text': 'Vision loss', 'label': 'ENTITY', 'umls_cui': 'C0456909', 'umls_score': 0.9785060882568359}, {'text': 'eye pain', 'label': 'ENTITY', 'umls_cui': 'C0151827', 'umls_score': 0.9724454879760742}, {'text': 'halos around lights', 'label': 'ENTITY', 'umls_cui': 'C0422974', 'umls_score': 0.978550136089325}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}]"
Yaws,"Azithromycin (30 mg/kg single dose), penicillin G (1.2 million units IM).","Darkfield microscopy, serologic tests (VDRL).","Skin sores, bone pain, wartlike growths.",[],"[{'text': 'Azithromycin', 'label': 'ENTITY', 'umls_cui': 'C0052796', 'umls_score': 0.9585456252098083}, {'text': 'single dose', 'label': 'ENTITY', 'umls_cui': 'C1710088', 'umls_score': 0.8483272790908813}, {'text': 'penicillin G', 'label': 'ENTITY', 'umls_cui': 'C0030827', 'umls_score': 0.9891737103462219}, {'text': 'IM', 'label': 'ENTITY', 'umls_cui': 'C0231377', 'umls_score': 0.9843143224716187}]","[{'text': 'Darkfield microscopy', 'label': 'ENTITY', 'umls_cui': 'C1553151', 'umls_score': 0.9492846727371216}, {'text': 'serologic tests', 'label': 'ENTITY', 'umls_cui': 'C0036743', 'umls_score': 0.9843533039093018}, {'text': 'VDRL', 'label': 'ENTITY', 'umls_cui': 'C0201406', 'umls_score': 0.9934939742088318}]","[{'text': 'Skin sores', 'label': 'ENTITY', 'umls_cui': 'C0037299', 'umls_score': 0.9815572500228882}, {'text': 'bone pain', 'label': 'ENTITY', 'umls_cui': 'C0151825', 'umls_score': 0.9806250929832458}, {'text': 'wartlike growths', 'label': 'ENTITY'}]"
Mpox (Monkeypox),"Tecovirimat (600 mg twice daily), supportive care, vaccination (JYNNEOS).","PCR of lesion sample, clinical presentation.","Fever, rash, pustules, swollen lymph nodes.","[{'text': 'Mpox', 'label': 'ENTITY', 'umls_cui': 'C0630132', 'umls_score': 0.9953493475914001}, {'text': 'Monkeypox', 'label': 'ENTITY', 'umls_cui': 'C0276180', 'umls_score': 0.9606699347496033}]","[{'text': 'Tecovirimat', 'label': 'ENTITY', 'umls_cui': 'C2713595', 'umls_score': 0.9899898767471313}, {'text': 'supportive care', 'label': 'ENTITY', 'umls_cui': 'C0344211', 'umls_score': 0.9841068983078003}, {'text': 'vaccination', 'label': 'ENTITY', 'umls_cui': 'C0042196', 'umls_score': 0.9629972577095032}, {'text': 'JYNNEOS', 'label': 'ENTITY', 'umls_cui': 'C5417773', 'umls_score': 0.9537537693977356}]","[{'text': 'PCR', 'label': 'ENTITY', 'umls_cui': 'C0032520', 'umls_score': 0.9947255253791809}, {'text': 'lesion sample', 'label': 'ENTITY', 'umls_cui': 'C0586521', 'umls_score': 0.9755991101264954}, {'text': 'clinical presentation', 'label': 'ENTITY', 'umls_cui': 'C2708283', 'umls_score': 0.9764278531074524}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}, {'text': 'pustules', 'label': 'ENTITY', 'umls_cui': 'C0241157', 'umls_score': 0.9878973960876465}, {'text': 'swollen', 'label': 'ENTITY', 'umls_cui': 'C0038999', 'umls_score': 0.9612990021705627}, {'text': 'lymph nodes', 'label': 'ENTITY', 'umls_cui': 'C0024204', 'umls_score': 0.9857650399208069}]"
High Cholesterol,"Atorvastatin (2040 mg daily), lifestyle changes, ezetimibe (10 mg daily).","Lipid panel (LDL >130 mg/dL), family history.","Asymptomatic, xanthomas (severe cases), chest pain risk.","[{'text': 'High', 'label': 'ENTITY', 'umls_cui': 'C0205250', 'umls_score': 0.9880231022834778}]","[{'text': 'Atorvastatin', 'label': 'ENTITY', 'umls_cui': 'C0286651', 'umls_score': 0.9552493691444397}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'lifestyle changes', 'label': 'ENTITY', 'umls_cui': 'C0870811', 'umls_score': 0.9783875942230225}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Lipid panel', 'label': 'ENTITY', 'umls_cui': 'C0200382', 'umls_score': 0.9889910817146301}, {'text': 'LDL', 'label': 'ENTITY', 'umls_cui': 'C0023823', 'umls_score': 0.9997654557228088}, {'text': 'family history', 'label': 'ENTITY', 'umls_cui': 'C0241889', 'umls_score': 0.9935490489006042}]","[{'text': 'Asymptomatic', 'label': 'ENTITY', 'umls_cui': 'C0231221', 'umls_score': 0.9688202142715454}, {'text': 'xanthomas', 'label': 'ENTITY', 'umls_cui': 'C0302314', 'umls_score': 0.9785463213920593}, {'text': 'severe', 'label': 'ENTITY', 'umls_cui': 'C0205082', 'umls_score': 0.981156051158905}, {'text': 'cases', 'label': 'ENTITY', 'umls_cui': 'C0868928', 'umls_score': 0.9694790244102478}, {'text': 'chest pain risk', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.8195003867149353}]"
Urinary Tract Infection (UTI),"Nitrofurantoin (100 mg twice daily for 5 days), trimethoprimsulfamethoxazole (160/800 mg twice daily).","Urinalysis, urine culture.","Burning urination, urgency, cloudy urine, pelvic pain.","[{'text': 'Urinary Tract Infection', 'label': 'ENTITY', 'umls_cui': 'C0042029', 'umls_score': 0.9782691597938538}, {'text': 'UTI', 'label': 'ENTITY', 'umls_cui': 'C0042029', 'umls_score': 0.9899987578392029}]","[{'text': 'Nitrofurantoin', 'label': 'ENTITY', 'umls_cui': 'C0028156', 'umls_score': 0.9741859436035156}, {'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'trimethoprimsulfamethoxazole', 'label': 'ENTITY', 'umls_cui': 'C0041044', 'umls_score': 0.9231431484222412}]","[{'text': 'Urinalysis', 'label': 'ENTITY', 'umls_cui': 'C0042014', 'umls_score': 0.9850638508796692}, {'text': 'urine culture', 'label': 'ENTITY', 'umls_cui': 'C0430404', 'umls_score': 0.9748582243919373}]","[{'text': 'Burning', 'label': 'ENTITY', 'umls_cui': 'C0085624', 'umls_score': 0.9737390279769897}, {'text': 'urination', 'label': 'ENTITY', 'umls_cui': 'C0042034', 'umls_score': 0.9745711088180542}, {'text': 'urgency', 'label': 'ENTITY', 'umls_cui': 'C0439609', 'umls_score': 0.988447368144989}, {'text': 'cloudy', 'label': 'ENTITY', 'umls_cui': 'C0205406', 'umls_score': 0.9728391766548157}, {'text': 'urine', 'label': 'ENTITY', 'umls_cui': 'C0042036', 'umls_score': 0.9818705320358276}, {'text': 'pelvic pain', 'label': 'ENTITY', 'umls_cui': 'C0030794', 'umls_score': 0.9685612916946411}]"
Hiatal Hernia,"Omeprazole (2040 mg daily), surgery (fundoplication), lifestyle changes.","Endoscopy, barium swallow Xray.","Heartburn, regurgitation, chest pain, dysphagia.","[{'text': 'Hiatal Hernia', 'label': 'ENTITY', 'umls_cui': 'C3489393', 'umls_score': 0.9828087091445923}]","[{'text': 'Omeprazole', 'label': 'ENTITY', 'umls_cui': 'C0028978', 'umls_score': 0.9803848266601562}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'fundoplication', 'label': 'ENTITY', 'umls_cui': 'C0192499', 'umls_score': 0.9717075824737549}, {'text': 'lifestyle', 'label': 'ENTITY', 'umls_cui': 'C0023676', 'umls_score': 0.9781678318977356}, {'text': 'changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.9851773381233215}]","[{'text': 'Endoscopy', 'label': 'ENTITY', 'umls_cui': 'C0014245', 'umls_score': 0.9926842451095581}, {'text': 'barium swallow Xray', 'label': 'ENTITY'}]","[{'text': 'Heartburn', 'label': 'ENTITY', 'umls_cui': 'C0018834', 'umls_score': 0.948246419429779}, {'text': 'regurgitation', 'label': 'ENTITY', 'umls_cui': 'C2004489', 'umls_score': 0.9483206868171692}, {'text': 'chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'dysphagia', 'label': 'ENTITY', 'umls_cui': 'C0011168', 'umls_score': 0.980331540107727}]"
Heat Exhaustion,"IV fluids, cooling measures, rest, no drugs typically.","Clinical history, vital signs (elevated temp).","Heavy sweating, weakness, nausea, headache.","[{'text': 'Heat Exhaustion', 'label': 'ENTITY', 'umls_cui': 'C0018839', 'umls_score': 0.9303532242774963}]","[{'text': 'cooling', 'label': 'ENTITY', 'umls_cui': 'C0678568', 'umls_score': 0.9435877203941345}, {'text': 'measures', 'label': 'ENTITY', 'umls_cui': 'C0079809', 'umls_score': 0.992241621017456}, {'text': 'rest', 'label': 'ENTITY', 'umls_cui': 'C0035253', 'umls_score': 0.9951050877571106}, {'text': 'drugs', 'label': 'ENTITY', 'umls_cui': 'C0013227', 'umls_score': 0.9851945638656616}]","[{'text': 'Clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}, {'text': 'vital signs', 'label': 'ENTITY', 'umls_cui': 'C0150404', 'umls_score': 0.9548668265342712}]","[{'text': 'Heavy sweating', 'label': 'ENTITY', 'umls_cui': 'C0700590', 'umls_score': 0.9497100710868835}, {'text': 'weakness', 'label': 'ENTITY', 'umls_cui': 'C0004093', 'umls_score': 0.9751015901565552}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}, {'text': 'headache', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.9900735020637512}]"
Blepharitis,"Warm compresses, erythromycin ointment (0.5% nightly), doxycycline (50 mg daily).","Clinical exam, eyelid swab if severe.","Itchy eyelids, crusting, redness, burning sensation.","[{'text': 'Blepharitis', 'label': 'ENTITY', 'umls_cui': 'C0005741', 'umls_score': 0.9915771484375}]","[{'text': 'Warm compresses', 'label': 'ENTITY', 'umls_cui': 'C0180053', 'umls_score': 0.8259609937667847}, {'text': 'erythromycin', 'label': 'ENTITY', 'umls_cui': 'C0014806', 'umls_score': 0.9827792048454285}, {'text': 'ointment', 'label': 'ENTITY', 'umls_cui': 'C0028912', 'umls_score': 0.9507246613502502}, {'text': 'doxycycline', 'label': 'ENTITY', 'umls_cui': 'C0013090', 'umls_score': 0.9679107069969177}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'eyelid swab', 'label': 'ENTITY', 'umls_cui': 'C0015426', 'umls_score': 0.7679110169410706}, {'text': 'severe', 'label': 'ENTITY', 'umls_cui': 'C0205082', 'umls_score': 0.981156051158905}]","[{'text': 'Itchy eyelids', 'label': 'ENTITY', 'umls_cui': 'C0015426', 'umls_score': 0.7589176297187805}, {'text': 'crusting', 'label': 'ENTITY', 'umls_cui': 'C0205204', 'umls_score': 0.9712477326393127}, {'text': 'redness', 'label': 'ENTITY', 'umls_cui': 'C0041834', 'umls_score': 0.9690099358558655}, {'text': 'burning sensation', 'label': 'ENTITY', 'umls_cui': 'C0085624', 'umls_score': 0.955970823764801}]"
Bronchiolitis,"Supportive care, albuterol (2.5 mg nebulized), oxygen if needed.","Chest Xray, pulse oximetry, RSV test.","Wheezing, cough, rapid breathing, fever (infants).","[{'text': 'Bronchiolitis', 'label': 'ENTITY', 'umls_cui': 'C0006271', 'umls_score': 0.9919793605804443}]","[{'text': 'Supportive care', 'label': 'ENTITY', 'umls_cui': 'C0344211', 'umls_score': 0.9841068983078003}, {'text': 'albuterol', 'label': 'ENTITY', 'umls_cui': 'C0001927', 'umls_score': 0.9752848744392395}, {'text': 'nebulized', 'label': 'ENTITY', 'umls_cui': 'C1549531', 'umls_score': 0.9735028743743896}, {'text': 'oxygen', 'label': 'ENTITY', 'umls_cui': 'C0030054', 'umls_score': 0.9706076383590698}]","[{'text': 'Chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'pulse oximetry', 'label': 'ENTITY', 'umls_cui': 'C0034108', 'umls_score': 0.9781084060668945}, {'text': 'RSV test', 'label': 'ENTITY', 'umls_cui': 'C0022885', 'umls_score': 0.7554857730865479}]","[{'text': 'Wheezing', 'label': 'ENTITY', 'umls_cui': 'C0043144', 'umls_score': 0.9590449929237366}, {'text': 'cough', 'label': 'ENTITY', 'umls_cui': 'C0010200', 'umls_score': 0.9633718132972717}, {'text': 'breathing', 'label': 'ENTITY', 'umls_cui': 'C0004048', 'umls_score': 0.9880034327507019}, {'text': 'fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'infants', 'label': 'ENTITY', 'umls_cui': 'C0021270', 'umls_score': 0.9647191762924194}]"
Anorexia Nervosa,"Psychotherapy, olanzapine (2.510 mg daily), nutritional support.","DSM5 criteria, BMI <18.5, psychological eval.","Extreme weight loss, fatigue, amenorrhea, fear of weight gain.","[{'text': 'Anorexia Nervosa', 'label': 'ENTITY', 'umls_cui': 'C0003125', 'umls_score': 0.9716147184371948}]","[{'text': 'Psychotherapy', 'label': 'ENTITY', 'umls_cui': 'C0033968', 'umls_score': 0.9860352873802185}, {'text': 'olanzapine', 'label': 'ENTITY', 'umls_cui': 'C0171023', 'umls_score': 0.9628050923347473}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'nutritional support', 'label': 'ENTITY', 'umls_cui': 'C0242739', 'umls_score': 0.9667713046073914}]","[{'text': 'DSM5', 'label': 'ENTITY'}, {'text': 'criteria', 'label': 'ENTITY', 'umls_cui': 'C0243161', 'umls_score': 0.9772256016731262}, {'text': 'BMI', 'label': 'ENTITY', 'umls_cui': 'C0005893', 'umls_score': 0.9942916631698608}, {'text': 'psychological', 'label': 'ENTITY', 'umls_cui': 'C0205486', 'umls_score': 0.9735037088394165}, {'text': 'eval', 'label': 'ENTITY'}]","[{'text': 'Extreme weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.752224862575531}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'amenorrhea', 'label': 'ENTITY', 'umls_cui': 'C0002453', 'umls_score': 0.9864200353622437}, {'text': 'fear of weight gain', 'label': 'ENTITY', 'umls_cui': 'C0043094', 'umls_score': 0.7612248659133911}]"
Antisocial Personality Disorder,"Psychotherapy, no specific drugs, manage comorbidities (e.g., SSRIs).","DSM5 criteria, psychiatric history.","Impulsivity, aggression, lack of remorse, rulebreaking.","[{'text': 'Antisocial', 'label': 'ENTITY', 'umls_cui': 'C0233523', 'umls_score': 0.7631826996803284}]","[{'text': 'Psychotherapy', 'label': 'ENTITY', 'umls_cui': 'C0033968', 'umls_score': 0.9860352873802185}, {'text': 'drugs', 'label': 'ENTITY', 'umls_cui': 'C0013227', 'umls_score': 0.9851945638656616}, {'text': 'manage', 'label': 'ENTITY', 'umls_cui': 'C0335141', 'umls_score': 0.7791761159896851}, {'text': 'comorbidities', 'label': 'ENTITY', 'umls_cui': 'C0009488', 'umls_score': 0.9816346168518066}, {'text': 'SSRIs', 'label': 'ENTITY', 'umls_cui': 'C0360105', 'umls_score': 0.9438421726226807}]","[{'text': 'DSM5', 'label': 'ENTITY'}, {'text': 'criteria', 'label': 'ENTITY', 'umls_cui': 'C0243161', 'umls_score': 0.9772256016731262}, {'text': 'psychiatric history', 'label': 'ENTITY', 'umls_cui': 'C0033873', 'umls_score': 0.7691364288330078}]","[{'text': 'Impulsivity', 'label': 'ENTITY', 'umls_cui': 'C0021125', 'umls_score': 0.9854320287704468}, {'text': 'aggression', 'label': 'ENTITY', 'umls_cui': 'C0001807', 'umls_score': 0.9495137929916382}, {'text': 'lack', 'label': 'ENTITY', 'umls_cui': 'C0332268', 'umls_score': 0.9926170110702515}, {'text': 'rulebreaking', 'label': 'ENTITY'}]"
Snoring,"CPAP if apnea, nasal strips, surgery (uvulopalatopharyngoplasty).","Sleep study, physical exam (nasal/throat).","Loud breathing during sleep, daytime fatigue.",[],"[{'text': 'CPAP', 'label': 'ENTITY', 'umls_cui': 'C0199451', 'umls_score': 0.9860100746154785}, {'text': 'apnea', 'label': 'ENTITY', 'umls_cui': 'C0003578', 'umls_score': 0.9765510559082031}, {'text': 'nasal strips', 'label': 'ENTITY', 'umls_cui': 'C4730088', 'umls_score': 0.9706208109855652}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'uvulopalatopharyngoplasty', 'label': 'ENTITY', 'umls_cui': 'C1535578', 'umls_score': 0.9673751592636108}]","[{'text': 'Sleep study', 'label': 'ENTITY', 'umls_cui': 'C0162701', 'umls_score': 0.9867016673088074}, {'text': 'physical exam', 'label': 'ENTITY', 'umls_cui': 'C0031809', 'umls_score': 0.9741718769073486}, {'text': 'nasal/throat', 'label': 'ENTITY'}]","[{'text': 'Loud breathing', 'label': 'ENTITY', 'umls_cui': 'C0004048', 'umls_score': 0.8220685124397278}, {'text': 'sleep', 'label': 'ENTITY', 'umls_cui': 'C0037313', 'umls_score': 0.9995025992393494}, {'text': 'daytime fatigue', 'label': 'ENTITY'}]"
Hemophilia,"Factor VIII (2040 IU/kg IV), desmopressin (0.3 mcg/kg IV), tranexamic acid.","Factor VIII/IX assay, genetic testing.","Excessive bleeding, bruising, joint pain, prolonged clotting.","[{'text': 'Hemophilia', 'label': 'ENTITY', 'umls_cui': 'C0019069', 'umls_score': 0.9889121651649475}]","[{'text': 'desmopressin', 'label': 'ENTITY', 'umls_cui': 'C0011701', 'umls_score': 0.9729156494140625}, {'text': 'tranexamic acid', 'label': 'ENTITY', 'umls_cui': 'C0040613', 'umls_score': 0.9688713550567627}]","[{'text': 'Factor VIII/IX assay', 'label': 'ENTITY', 'umls_cui': 'C0200408', 'umls_score': 0.7204896211624146}, {'text': 'genetic testing', 'label': 'ENTITY', 'umls_cui': 'C0393006', 'umls_score': 0.9895012974739075}]","[{'text': 'Excessive bleeding', 'label': 'ENTITY', 'umls_cui': 'C0424561', 'umls_score': 0.9716702103614807}, {'text': 'bruising', 'label': 'ENTITY', 'umls_cui': 'C0009938', 'umls_score': 0.9562113285064697}, {'text': 'joint pain', 'label': 'ENTITY', 'umls_cui': 'C0003862', 'umls_score': 0.9798861742019653}, {'text': 'prolonged', 'label': 'ENTITY', 'umls_cui': 'C0439590', 'umls_score': 0.9630876779556274}, {'text': 'clotting', 'label': 'ENTITY', 'umls_cui': 'C0005778', 'umls_score': 0.9717571139335632}]"
